vehicle_id,vehicle_type,latitude,longitude,route_short_name,route_long_name
2172,Bus,53.58430862426758,-113.4917984008789,009,Southgate - Eaux Claires
2185,Bus,53.4852409362793,-113.51637268066406,055,Meadows - Southgate - West Edmonton Mall
2188,Bus,53.55548095703125,-113.61543273925781,054,West Edmonton Mall - West Clareview
2203,Bus,53.55120849609375,-113.57791137695312,052,Northgate - West Edmonton Mall
2217,Bus,53.57038879394531,-113.47911071777344,005,Westmount - Downtown - Coliseum
2228,Bus,53.5412483215332,-113.53257751464844,002,West Edmonton Mall - Stadium - Clareview
2231,Bus,53.618011474609375,-113.49015808105469,119,Eaux Claires - West Clareview
2237,Bus,53.54322814941406,-113.59217071533203,909,Jasper Place - Westmount
2239,Bus,53.58510971069336,-113.49212646484375,009,Southgate - Eaux Claires
2250,Bus,53.5406608581543,-113.5921401977539,903,Jasper Place - Kingsway
2251,Bus,53.546348571777344,-113.51228332519531,007,West Edmonton Mall - Downtown
2255,Bus,53.4852409362793,-113.51631164550781,507,Tamarack - Southgate
2262,Bus,53.540771484375,-113.50346374511719,701,Southgate - Kingsway
2270,Bus,53.54291915893555,-113.53372955322266,002,West Edmonton Mall - Stadium - Clareview
2272,Bus,53.5218505859375,-113.61528015136719,002,West Edmonton Mall - Stadium - Clareview
2282,Bus,53.57810974121094,-113.50492858886719,121,Clareview -  Fraser - Evergreen
2287,Bus,53.61137008666992,-113.45448303222656,113,West Clareview - Northgate
2288,Bus,53.56114959716797,-113.555419921875,003,Westmount - Stadium
2289,Bus,53.58794021606445,-113.43556213378906,108,Belvedere - East Clareview
2296,Bus,53.603721618652344,-113.37767028808594,108,Belvedere - East Clareview
2298,Bus,53.611751556396484,-113.38436126708984,121,Clareview -  Fraser - Evergreen
2303,Bus,53.540931701660156,-113.4996109008789,005,Westmount - Downtown - Coliseum
2304,Bus,53.58938980102539,-113.37848663330078,116,Abbottsfield - East Clareview
2307,Bus,53.45819091796875,-113.43408966064453,053,West Clareview - Mill Woods
2308,Bus,53.487159729003906,-113.39266204833984,907,West Edmonton Mall - Westmount
2318,Bus,53.454139709472656,-113.58289337158203,715,Leger - Century Park
2418,Bus,53.6050910949707,-113.41464233398438,114,West Clareview - Northgate
2422,Bus,53.519569396972656,-113.60944366455078,004,Lewis Farms - University - Capilano
2423,Bus,53.612220764160156,-113.54493713378906,124,Westmount - Eaux Claires
2425,Bus,53.527809143066406,-113.61543273925781,915,West Edmonton Mall - Jasper Place
2447,Bus,53.55097961425781,-113.53658294677734,901,Jasper Place - Downtown
2462,Bus,53.551021575927734,-113.57888793945312,901,Jasper Place - Downtown
2463,Bus,53.60755157470703,-113.5496597290039,109,Northgate - Castle Downs - Hudson
2465,Bus,53.534088134765625,-113.50264739990234,902,NAIT - University
2477,Bus,53.57041931152344,-113.48033142089844,008,Abbottsfield - Downtown - University
2483,Bus,53.531551361083984,-113.5975570678711,007,West Edmonton Mall - Downtown
2485,Bus,53.52716827392578,-113.50225067138672,009,Southgate - Eaux Claires
2494,Bus,53.45402145385742,-113.50296020507812,518,Mill Woods - Century Park
2496,Bus,53.52323913574219,-113.66718292236328,917,West Edmonton Mall - Lewis Farms
2504,Bus,53.48508834838867,-113.51651763916016,709,Century Park - Southgate
2517,Bus,53.45399856567383,-113.53138732910156,056,Mill Woods - Leger - West Edmonton Mall
2524,Bus,53.523109436035156,-113.51213073730469,009,Southgate - Eaux Claires
2534,Bus,53.54917907714844,-113.47480010986328,002,West Edmonton Mall - Stadium - Clareview
2536,Bus,53.54336166381836,-113.48253631591797,005,Westmount - Downtown - Coliseum
2547,Bus,53.45444869995117,-113.51598358154297,721,Century Park - Rutherford - Desrochers
2642,Bus,53.46171951293945,-113.368896484375,706,Leger - Southgate
2654,Bus,53.52328109741211,-113.6668472290039,004,Lewis Farms - University - Capilano
2655,Bus,53.47840118408203,-113.3680419921875,516,Mill Woods - Laurel - Meadows
2670,Bus,53.40370178222656,-113.53877258300781,721,Century Park - Rutherford - Desrochers
2677,Bus,53.458518981933594,-113.40776824951172,509,Mill Woods - Millbourne
2680,Bus,53.53955841064453,-113.49530029296875,001,Downtown - Capilano
2692,Bus,53.457618713378906,-113.51571655273438,056,Mill Woods - Leger - West Edmonton Mall
2693,Bus,53.52518844604492,-113.62093353271484,007,West Edmonton Mall - Downtown
2698,Bus,53.48320007324219,-113.51618194580078,701,Southgate - Kingsway
2701,Bus,53.54106903076172,-113.49299621582031,008,Abbottsfield - Downtown - University
2709,Bus,53.54446029663086,-113.49189758300781,007,West Edmonton Mall - Downtown
2716,Bus,53.52518844604492,-113.62217712402344,056,Mill Woods - Leger - West Edmonton Mall
2724,Bus,53.563228607177734,-113.55071258544922,005,Westmount - Downtown - Coliseum
2726,Bus,53.59941864013672,-113.48503875732422,056,Mill Woods - Leger - West Edmonton Mall
2742,Bus,53.457279205322266,-113.42845916748047,509,Mill Woods - Millbourne
2753,Bus,53.54549026489258,-113.41847229003906,001,Downtown - Capilano
2755,Bus,53.525020599365234,-113.623779296875,916,West Edmonton Mall - Lewis Farms
2760,Bus,53.479270935058594,-113.3661880493164,507,Tamarack - Southgate
2762,Bus,53.44641876220703,-113.49031066894531,512,Mill Woods - South Edmonton Common
